172.20.0.1 - - [02/Oct/2024:15:42:10 +0000] "GET /api/v1/threats/all?_=1727881030772 HTTP/1.1" 500 12215 "http://incident-report.test:81/security-events" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36" "-"
172.20.0.1 - - [02/Oct/2024:15:42:58 +0000] "GET / HTTP/1.1" 500 327668 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:48:55 +0000] "GET / HTTP/1.1" 302 358 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:49:02 +0000] "GET /login HTTP/1.1" 200 6800 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:49:02 +0000] "GET /assets/vendor/fonts/boxicons.css HTTP/1.1" 200 86298 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:49:02 +0000] "GET /assets/vendor/css/theme-default.css HTTP/1.1" 200 29380 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:49:02 +0000] "GET /assets/css/demo.css HTTP/1.1" 200 3026 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:49:02 +0000] "GET /assets/vendor/fonts/fontawesome.css HTTP/1.1" 200 102089 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:49:02 +0000] "GET /assets/vendor/css/core.css HTTP/1.1" 200 956611 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:49:02 +0000] "GET /assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css HTTP/1.1" 200 5020 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:49:02 +0000] "GET /assets/vendor/libs/typeahead-js/typeahead.css HTTP/1.1" 200 2469 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:49:02 +0000] "GET /assets/vendor/libs/datatables-bs5/datatables.bootstrap5.css HTTP/1.1" 200 21217 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:49:02 +0000] "GET /assets/vendor/libs/datatables-responsive-bs5/responsive.bootstrap5.css HTTP/1.1" 200 5458 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:49:02 +0000] "GET /assets/vendor/fonts/flag-icons.css HTTP/1.1" 200 31173 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:49:02 +0000] "GET /assets/vendor/libs/datatables-buttons-bs5/buttons.bootstrap5.css HTTP/1.1" 200 9167 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:49:02 +0000] "GET /assets/vendor/libs/flatpickr/flatpickr.css HTTP/1.1" 200 20487 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:15:49:02 +0000] "GET /assets/js/config.js HTTP/1.1" 200 771 "http://localhost:81/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
